id,reference,tradingDayId,tradeDate,pair,direction,strategy,risk,lotSize,entryPrice,exitPrice,returnPct,pips,outcome,status,openTime,closeTime,isPublic
d937f737-a22a-4e33-fb28-47f9cf7b76a4,TRD-000001,e88d924b-0d64-5776-fe3c-5eed87077fa7,2022-09-01,EUR/GBP,SELL,AI Momentum,LOW,1,0.86229,0.86303,-0.085621,7.38,LOSS,CLOSED,2022-09-01T13:58:00.000Z,2022-09-01T16:43:00.000Z,true
d437a233-1b45-66bf-202b-2b1541431846,TRD-000002,e88d924b-0d64-5776-fe3c-5eed87077fa7,2022-09-01,USD/JPY,SELL,Volatility Spike,LOW,1.45,149.051,149.155,-0.069717,10.39,LOSS,CLOSED,2022-09-01T13:29:00.000Z,2022-09-01T16:02:00.000Z,true
4ca750e5-c451-61b5-224a-80d22aedc03d,TRD-000003,e271b4ee-37d3-f808-11f6-1db232e05c83,2022-09-02,USD/JPY,SELL,Mean Reversion,LOW,1.87,151.382,151.124,0.170468,25.81,WIN,CLOSED,2022-09-02T14:15:00.000Z,2022-09-02T15:09:00.000Z,true
4965534d-b51a-486f-5388-a1fd25c9c6bf,TRD-000004,e271b4ee-37d3-f808-11f6-1db232e05c83,2022-09-02,GBP/USD,BUY,Mean Reversion,HIGH,0.87,1.2773,1.28047,0.248606,31.75,WIN,CLOSED,2022-09-02T14:05:00.000Z,2022-09-02T16:09:00.000Z,true
5bc8d8dc-84ba-0c33-392c-a99058963f7f,TRD-000005,e271b4ee-37d3-f808-11f6-1db232e05c83,2022-09-02,EUR/GBP,SELL,Carry Overlay,LOW,2.33,0.85809,0.85618,0.222489,19.09,WIN,CLOSED,2022-09-02T08:36:00.000Z,2022-09-02T09:43:00.000Z,true
33ee0771-c9b0-9dae-0199-bb19d9ad883f,TRD-000006,e271b4ee-37d3-f808-11f6-1db232e05c83,2022-09-02,GBP/USD,BUY,Mean Reversion,MEDIUM,1.63,1.27293,1.27545,0.198011,25.21,WIN,CLOSED,2022-09-02T14:35:00.000Z,2022-09-02T16:39:00.000Z,true
ac666138-f0af-b4f6-563d-3ad13cb22317,TRD-000007,67232bd7-70d6-41f2-44d3-a0a56695e8b3,2022-09-05,GBP/USD,BUY,Volatility Spike,MEDIUM,2.03,1.2563,1.25811,0.144231,18.12,WIN,CLOSED,2022-09-05T08:08:00.000Z,2022-09-05T10:12:00.000Z,true
2252a86a-2b7c-a6ba-ee01-6b588c35030e,TRD-000008,67232bd7-70d6-41f2-44d3-a0a56695e8b3,2022-09-05,EUR/GBP,SELL,AI Momentum,LOW,0.69,0.86845,0.86452,0.452554,39.3,WIN,CLOSED,2022-09-05T11:30:00.000Z,2022-09-05T15:35:00.000Z,true
17422151-0ebf-be7e-a069-739c999c90e4,TRD-000009,c0c323e0-e27e-822b-0d36-dff9ca644162,2022-09-06,GBP/USD,BUY,Session Breakout,MEDIUM,1.14,1.28803,1.28713,-0.069785,8.99,LOSS,CLOSED,2022-09-06T07:15:00.000Z,2022-09-06T09:26:00.000Z,true
739ce9c9-d208-2bb4-153d-60bfe0c9c177,TRD-000010,c0c323e0-e27e-822b-0d36-dff9ca644162,2022-09-06,USD/CAD,SELL,Carry Overlay,MEDIUM,1.25,1.37501,1.37569,-0.049409,6.79,LOSS,CLOSED,2022-09-06T13:16:00.000Z,2022-09-06T14:14:00.000Z,true
2d19b202-3ba3-c021-c6b0-b064f1077922,TRD-000011,c1617d37-6700-2830-08bd-d47d00efc967,2022-09-07,EUR/USD,SELL,Mean Reversion,MEDIUM,1.61,1.07108,1.06921,0.174173,18.66,WIN,CLOSED,2022-09-07T13:08:00.000Z,2022-09-07T14:32:00.000Z,true
7c06ae4c-1e36-d599-1424-5297391995f3,TRD-000012,c1617d37-6700-2830-08bd-d47d00efc967,2022-09-07,EUR/GBP,SELL,Carry Overlay,MEDIUM,0.49,0.84259,0.84041,0.259212,21.84,WIN,CLOSED,2022-09-07T09:01:00.000Z,2022-09-07T09:38:00.000Z,true
babc12e8-7d10-ab0c-9259-4ca387c2062d,TRD-000013,c1617d37-6700-2830-08bd-d47d00efc967,2022-09-07,EUR/GBP,BUY,AI Momentum,HIGH,1.12,0.84455,0.84576,0.143376,12.11,WIN,CLOSED,2022-09-07T11:32:00.000Z,2022-09-07T12:36:00.000Z,true
29ae0d18-2d36-1dec-8843-4ea7914b5f1c,TRD-000014,c1617d37-6700-2830-08bd-d47d00efc967,2022-09-07,NZD/USD,BUY,Volatility Spike,LOW,0.71,0.61197,0.61387,0.310877,19.02,WIN,CLOSED,2022-09-07T07:35:00.000Z,2022-09-07T10:31:00.000Z,true
df0493a7-a44f-61f8-e75e-6c1de4ebe022,TRD-000015,96d924b1-7369-716a-d0ea-d7cb610f3779,2022-09-08,XAU/USD,SELL,Session Breakout,HIGH,1.43,2366.27,2359.95,0.267204,63.23,WIN,CLOSED,2022-09-08T14:39:00.000Z,2022-09-08T19:22:00.000Z,true
b8413cec-6c7c-cd48-9693-1520aa37d6df,TRD-000016,96d924b1-7369-716a-d0ea-d7cb610f3779,2022-09-08,GBP/USD,BUY,Carry Overlay,HIGH,0.44,1.26052,1.26558,0.401667,50.63,WIN,CLOSED,2022-09-08T12:57:00.000Z,2022-09-08T17:42:00.000Z,true
3323cd34-b16e-b8c4-388d-7209a4b291c5,TRD-000017,96d924b1-7369-716a-d0ea-d7cb610f3779,2022-09-08,EUR/GBP,SELL,Mean Reversion,HIGH,0.8,0.85184,0.84793,0.458753,39.08,WIN,CLOSED,2022-09-08T11:43:00.000Z,2022-09-08T14:29:00.000Z,true
4bcdeb8a-ad42-88e6-8221-11ec5dda567f,TRD-000018,04dd2c4d-a652-c955-cb5f-d20719ecb8f6,2022-09-09,GBP/USD,BUY,AI Momentum,LOW,0.66,1.28527,1.29129,0.468352,60.2,WIN,CLOSED,2022-09-09T07:16:00.000Z,2022-09-09T10:57:00.000Z,true
d99fb71e-a0a6-296e-1f0d-6440b3bdac85,TRD-000019,04dd2c4d-a652-c955-cb5f-d20719ecb8f6,2022-09-09,USD/CAD,BUY,Carry Overlay,HIGH,1.58,1.34469,1.35068,0.445613,59.92,WIN,CLOSED,2022-09-09T10:56:00.000Z,2022-09-09T14:06:00.000Z,true
61c543c1-db44-2987-0934-5b6a70cdec08,TRD-000020,04dd2c4d-a652-c955-cb5f-d20719ecb8f6,2022-09-09,GBP/USD,BUY,AI Momentum,LOW,0.95,1.27496,1.27828,0.260686,33.24,WIN,CLOSED,2022-09-09T10:17:00.000Z,2022-09-09T14:30:00.000Z,true
a1c2dfbf-a178-7c22-f194-2f78c286ca78,TRD-000021,04dd2c4d-a652-c955-cb5f-d20719ecb8f6,2022-09-09,XAU/USD,BUY,Session Breakout,HIGH,1.35,2345.65,2354.56,0.380157,89.17,WIN,CLOSED,2022-09-09T14:40:00.000Z,2022-09-09T16:52:00.000Z,true
ef05ee4e-6f65-47b0-75a9-f6f63df8f9f4,TRD-000022,bdc0ee2f-fc1b-6530-b83d-b70ea97b6bfc,2022-09-12,EUR/USD,SELL,AI Momentum,MEDIUM,1.06,1.09352,1.09133,0.200611,21.94,WIN,CLOSED,2022-09-12T11:34:00.000Z,2022-09-12T15:52:00.000Z,true
98935596-1c7e-b04f-05d4-10feafa9220e,TRD-000023,bdc0ee2f-fc1b-6530-b83d-b70ea97b6bfc,2022-09-12,USD/JPY,SELL,AI Momentum,LOW,2.02,151.558,151.322,0.155261,23.53,WIN,CLOSED,2022-09-12T12:30:00.000Z,2022-09-12T15:22:00.000Z,true
e5714282-481c-82e1-abb5-5649f25d9a67,TRD-000024,bdc0ee2f-fc1b-6530-b83d-b70ea97b6bfc,2022-09-12,GBP/USD,BUY,Volatility Spike,MEDIUM,0.71,1.24956,1.25161,0.163923,20.48,WIN,CLOSED,2022-09-12T07:43:00.000Z,2022-09-12T11:38:00.000Z,true
01a550b9-ef77-6ef3-9b0e-18a1ba3c02a6,TRD-000025,bdc0ee2f-fc1b-6530-b83d-b70ea97b6bfc,2022-09-12,EUR/GBP,SELL,Mean Reversion,HIGH,1.96,0.84052,0.83871,0.215567,18.12,WIN,CLOSED,2022-09-12T07:09:00.000Z,2022-09-12T10:52:00.000Z,true
8e804d95-5a61-ed09-0598-0774ae009407,TRD-000026,1f54a83d-f5cd-5803-909c-3666d74cc739,2022-09-13,EUR/GBP,BUY,Mean Reversion,LOW,0.36,0.83805,0.83744,-0.072532,6.08,LOSS,CLOSED,2022-09-13T12:34:00.000Z,2022-09-13T14:00:00.000Z,true
bfd60ca9-2e86-5072-7318-615d34d0b44f,TRD-000027,1f54a83d-f5cd-5803-909c-3666d74cc739,2022-09-13,EUR/USD,BUY,Mean Reversion,HIGH,0.45,1.08227,1.08184,-0.039724,4.3,LOSS,CLOSED,2022-09-13T13:49:00.000Z,2022-09-13T16:08:00.000Z,true
2ff55eea-35b7-a9a6-e4c2-431a9537d8be,TRD-000028,1f54a83d-f5cd-5803-909c-3666d74cc739,2022-09-13,USD/CAD,BUY,Volatility Spike,HIGH,2.22,1.35741,1.35699,-0.031339,4.25,LOSS,CLOSED,2022-09-13T11:54:00.000Z,2022-09-13T14:10:00.000Z,true
09ba25ab-4efb-f54f-742d-a16b1e7f3b91,TRD-000029,1f54a83d-f5cd-5803-909c-3666d74cc739,2022-09-13,USD/CAD,BUY,Carry Overlay,HIGH,1.94,1.36261,1.36265,0.003213,0.44,WIN,CLOSED,2022-09-13T09:32:00.000Z,2022-09-13T12:22:00.000Z,true
1b637100-2957-8420-2d56-48fe771275de,TRD-000030,81cc62c5-1e0f-c73e-7318-5df72d9e6621,2022-09-14,NZD/USD,BUY,Carry Overlay,MEDIUM,2.15,0.59878,0.60212,0.55721,33.36,WIN,CLOSED,2022-09-14T08:42:00.000Z,2022-09-14T09:14:00.000Z,true
e8b60bcf-dcf4-b002-a4e6-96aee3c3bf6a,TRD-000031,81cc62c5-1e0f-c73e-7318-5df72d9e6621,2022-09-14,USD/CAD,BUY,AI Momentum,LOW,0.73,1.35749,1.36343,0.437808,59.43,WIN,CLOSED,2022-09-14T13:25:00.000Z,2022-09-14T15:52:00.000Z,true
4fa892de-fb5e-0e2b-81a9-263043b590d8,TRD-000032,81cc62c5-1e0f-c73e-7318-5df72d9e6621,2022-09-14,XAU/USD,BUY,Mean Reversion,HIGH,1.89,2328.82,2334.19,0.230435,53.66,WIN,CLOSED,2022-09-14T09:56:00.000Z,2022-09-14T10:33:00.000Z,true
e0a51fd6-fda3-a11f-c054-8464617d38ee,TRD-000033,e1c23c3c-f673-4543-55cd-e82c5252be12,2022-09-15,EUR/USD,SELL,Carry Overlay,MEDIUM,0.32,1.10426,1.09949,0.432002,47.7,WIN,CLOSED,2022-09-15T13:56:00.000Z,2022-09-15T16:20:00.000Z,true
15063e69-2428-30f2-94aa-a93252db4853,TRD-000034,e1c23c3c-f673-4543-55cd-e82c5252be12,2022-09-15,USD/CAD,BUY,Session Breakout,MEDIUM,0.21,1.36209,1.36496,0.210652,28.69,WIN,CLOSED,2022-09-15T11:37:00.000Z,2022-09-15T14:42:00.000Z,true
1f13928f-2611-b346-0c3d-08ff66e860d1,TRD-000035,e1c23c3c-f673-4543-55cd-e82c5252be12,2022-09-15,EUR/GBP,BUY,Mean Reversion,MEDIUM,1.1,0.85755,0.86084,0.382673,32.82,WIN,CLOSED,2022-09-15T09:01:00.000Z,2022-09-15T13:43:00.000Z,true
915ee742-b467-9ad9-7dbd-2404256779b8,TRD-000036,74f6b74b-aa13-8b78-8be9-49333bc8256a,2022-09-16,GBP/USD,BUY,Volatility Spike,HIGH,1.36,1.2837,1.28664,0.228675,29.36,WIN,CLOSED,2022-09-16T11:23:00.000Z,2022-09-16T15:48:00.000Z,true
c76d8c00-7593-03b7-0949-3063905e1816,TRD-000037,74f6b74b-aa13-8b78-8be9-49333bc8256a,2022-09-16,EUR/USD,SELL,Volatility Spike,MEDIUM,1.03,1.08922,1.08511,0.376901,41.05,WIN,CLOSED,2022-09-16T12:34:00.000Z,2022-09-16T14:21:00.000Z,true
8076759a-11b8-6129-cd56-4f83e03dde37,TRD-000038,74f6b74b-aa13-8b78-8be9-49333bc8256a,2022-09-16,XAU/USD,SELL,Volatility Spike,HIGH,0.15,2359.1,2350.84,0.349904,82.55,WIN,CLOSED,2022-09-16T11:59:00.000Z,2022-09-16T12:28:00.000Z,true
